Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Full Description
Opibus,https://www.crunchbase.com/organization/opibus,"Automotive, CleanTech, Electric Vehicle, Electronics, Manufacturing, Renewable Energy, Sustainability","Nairobi, Nairobi Area, Kenya","E-mobility development and manufacturing - Electric Vehicles, Electric Motorcycles and Charing infrastructure","2,822","Opibus is an e-mobility manufacturing and development company aiming on accelerating a transition to sustainable mobility in emerging markets. The company has headquarters in Stockholm, Sweden and Nairobi, Kenya with a team of >90 persons.  The products developed cover proprietary EV powertrains (i.e. conversion systems), electric motorcycles, various types of power generation systems and charging infrastructure. Products have been manufactured and deployed in several customer segments since 2017 in 8 countries in Africa."
Yoco,https://www.crunchbase.com/organization/yoco,"Financial Services, FinTech, Mobile Payments, Payments, Point of Sale, Small and Medium Businesses","Cape Town, NA - South Africa, South Africa",Yoco is a point-of-sale payments provider for small businesses in Africa.,"2,833","Yoco is a point-of-sale payments provider for small businesses in Africa. Yoco helps 100,000 small businesses in South Africa get paid in-store, online, and on the go. Yoco was named one of the top 250 most promising fintech companies by CB Insights for the last 3 years running. The company was founded in 2013 and is based in Cape Town, South Africa."
OnePipe,https://www.crunchbase.com/organization/onepipe,"Finance, FinTech","Lagos, Lagos, Nigeria",OnePipe builds and maintains APIs that enable banks to partner with modern digital services and fintech.,"2,877",
Minly,https://www.crunchbase.com/organization/minly,"Apps, Content Creators, Digital Entertainment, Information Technology, Internet, Social Media","Cairo, Al Qahirah, Egypt",Minly is an online platform for celebrities and fans to connect through a new form of personalized experiences.,"2,966","Minly is an online platform for celebrities and fans to connect through a new form of personalized experiences. Minly makes impossible connections possible. They help bridge the gap between celebrities and their fans. With so many people facing unprecedented hardships today, Minly helps give fans access to unforgettable experiences from their favorite stars. Minly is a platform where fans can request personalized video shoutouts from their favorite actors, singers, athletes, influencers, and more. Fans can surprise their friends or loved ones for any occasion, whether it’s a birthday, anniversary, graduation, or just because. Minly’s positive impact doesn’t end here — we have also partnered with a few local non-profit organizations focused on feeding, development, and social development in the region. Minly Ltd. provides the Minly service – website, iOS, and Android apps – to users in the Middle East region and globally."
Helium Health,https://www.crunchbase.com/organization/helium-healthcare,"Electronic Health Record (EHR), Health Care, Medical, Payments, Software","Lagos, Lagos, Nigeria",Helium Health is an EHR company specializing in developing hospital software to manage patients’ health records and data.,"3,057","Helium Health is taking hospitals and clinics digital in Africa with a suite of software tools. It specializing in developing hospital software to manage patients’ health records and data. It helps hospitals digitize medical records, manage operations, and apply for financing; while providing a telemedicine solution to doctors. Using tech to build a modern and affordable healthcare system, Helium aims to be the largest healthcare data exchange in Africa. The company was founded in 2016 and is based in Lagos, Nigeria."
Fawry,https://www.crunchbase.com/organization/fawry,"Banking, Finance, Financial Services, Payments","Cairo, Al Qahirah, Egypt","Fawry is a pioneering Electronic Payment Network, offering financial services to consumers and businesses","3,104","Fawry is a pioneering Electronic Payment Network, offering financial services to consumers and businesses through more than 65 thousand locations and a variety of channels. It offers a convenient and reliable way to pay bills and other services  in multiple channels (online, using ATMs , mobile wallets and retail points) The company's network of retailers includes small groceries, pharmacies and stationaries, and post-offices, all equipped with point-of-sale machines – the same ones used for credit card payments."
Liquid Telecom,https://www.crunchbase.com/organization/liquid-telecom,"Data Center, Internet, ISP, Telecommunications","Ebène, Plaines Wilhems, Mauritius","Liquid Telecom is an independent data, voice, and IP provider that is committed to building Africa’s digital future.","3,118","Liquid Telecom is an independent data, voice, and IP provider that commits to building a digital future. Liquid Telecom has built Africa’s fiber network, currently stretching over 18,000km across Uganda, Kenya, Rwanda, Zambia, Zimbabwe, Botswana, DRC, Lesotho, and South Africa.  It was founded in 2004 and headquartered in Ebène, Plaines Wilhems."
Moove,https://www.crunchbase.com/organization/moove-africa,"Consumer, Finance, Financial Services, FinTech","Lagos, Lagos, Nigeria",Moove is a mobility fintech company that provides vehicle financing to its customers and mobility entrepreneurs.,"3,212","Moove is a mobility fintech that provides revenue-based vehicle financing to mobility entrepreneurs, democratizing vehicle ownership across Africa.The company embeds its alternative credit-scoring technology onto ride-hailing and e-logistics platforms, which allows access to proprietary performance and revenue analytics of mobility entrepreneurs to underwrite loans. Moove was founded by Ladi Delano and Jide Odunsi in 2019."
Busha,https://www.crunchbase.com/organization/busha,"Blockchain, Mobile Apps, Mobile Payments, Virtual Currency","Lekki, Lagos, Nigeria","Busha is a trusted platform that helps to buy, sell, and manage your cryptocurrency portfolio in the simplest, safest, and most reliable way","3,278","Buy, sell, and manage your cryptocurrency portfolio in the simplest, safest, and most reliable way."
MaxAB,https://www.crunchbase.com/organization/maxab,"B2B, E-Commerce, Internet","Cairo, Al Qahirah, Egypt",MaxAB is a B2B e-commerce platform that connects food and grocery retailers to suppliers.,"3,302","MaxAB is a B2B e-commerce platform that connects food and grocery retailers to suppliers in the most under-served geographies. We are Re-engineering the informal grocery and food market using empowering technologies and innovative supply chains that is designed to fit the needs of retailers in the areas we serve. We are on a mission to empower the retailers, by availing access to a wide range of products, premium service and operational support. Our technology enabled supply chain is helping put the correct amount of food at the right place at the right time. The company was founded in 2018 and is headquartered in Cairo, Egypt."
Alerzo,https://www.crunchbase.com/organization/alerzo,"B2B, E-Commerce, Internet, Logistics, Retail","Ibadan, Oyo, Nigeria",Alerzo is a B2B e-commerce retail company providing a platform that transforms how informal retail stores operate.,"3,399","Alerzo is a B2B e-commerce retail company providing a technology and services platform that transforms how informal retail stores operate. It offers on-demand inventory distribution and financial services for small informal stores while also providing real-time market trends, customer feedback, and other consumer purchasing data to brands and manufacturers. The company was founded in 2019 and is based in Ibadan, Nigeria."
Capiter,https://www.crunchbase.com/organization/capiter,"B2B, E-Commerce, Marketplace","Cairo, Al Qahirah, Egypt",Capiter is a B2B marketplace that provides a payment method that offers cash flow solutions for small to medium-sized businesses.,"3,448","Capiter is a B2B marketplace that brings FMCGs, wholesalers, and merchants to the same platform, enabling merchants to order their products through the eCommerce platform and receive credit facilities Capiter is the liaison between the FMCG, wholesale, and merchant's supply chain. That provides efficiency in the whole supply chain by using advanced technology and Machine-learning models. This provides high-quality service to sales channels and high data validity to the supply channels with a highly optimized financial / product cycling. The company was founded in 2020 and is headquartered in Cairo, Egypt."
Sendy,https://www.crunchbase.com/organization/sendy,"Apps, B2B, Delivery","Nairobi, Nairobi Area, Kenya","Sendy Transport takes away the uncertainty of conventional delivery methods and makes the process simple, transparent and secure.","3,601",
Paystack,https://www.crunchbase.com/organization/paystack,"Finance, Financial Services, FinTech, Internet, Payments","Ikeja, Lagos, Nigeria","Paystack lets businesses accept payments via credit card, debit card, money transfer and mobile money on their websites or mobile apps.","3,685","Paystack lets businesses in Africa accept payments by anyone, anywhere in the world via credit card, debit card, money transfer, and mobile money on their websites or mobile apps. It specializes in the fields of financial services, the internet, and payments. The company was founded in 2015 and headquartered in Ikeja, Lagos."
Lendable,https://www.crunchbase.com/organization/lendable-2,"Angel Investment, Finance, Financial Services, FinTech, Impact Investing","Nairobi, Nairobi Area, Kenya",Lendable provides debt financing to fintechs in emerging and frontier markets.,"3,800",Lendable provides debt financing to fintechs in emerging and frontier markets. They are passionate about making impact investing a competitive asset class. They build technology and financial products to bring finance to one hundred million borrowers that deserve it.
MTN Group,https://www.crunchbase.com/organization/mtn,"Delivery Service, Mobile, Telecommunications, Wireless","Johannesburg, NA - South Africa, South Africa","MTN Group is a JSE-listed multinational company that offers voice and data, mobile financial, enterprise, and digital services.","3,816","MTN is a JSE-listed multinational company that offers voice and data, mobile financial, enterprise, and digital services. It serves individuals as well as SME, public sector, and corporate clients. The company’s traditional voice and data offerings include voice bundles, data bundles, bonus on recharge, and low-denomination recharge vouchers. Its mobile money product range includes international remittances, savings, lending, and insurance. MTN’s enterprise services are focused on connectivity, communication, cloud, M2M, and enterprise mobility. Through its investments with Rocket Internet AG in Africa Internet Holdings (AIH) and Middle East Internet Holdings (MEIH), MTN aims to to deliver a range of internet services in African continent and in the Middle East, including e-commerce retailing, market place, taxi, travel, classified, and food delivery services. MTN has launched, as part of its entertainment strategy, a host of products and services, including MTN FrontRow: a video-on-demand offering, and MTN Music+: a music streaming and downloading app which aims to promote African music. MTN was founded in 1994 and is headquartered in Johannesburg, South Africa. The company has operations in Afghanistan, Benin, Botswana, Cameroon, Ivory Coast, Cyprus, Ghana, Guinea Bissau, Guinea Republic, Iran, Liberia, Nigeria, Republic of Congo, Rwanda, Sudan, South Sudan, Swaziland, Syria, Uganda, Yemen, and Zambia. It has ISP licenses in Namibia and Kenya and a Value Added Service license in Ethiopia."
MarketForce360,https://www.crunchbase.com/organization/marketforce360,Information Technology,"Nairobi, Nairobi Area, Kenya",MarketForce is the operating system for retail distribution of consumer goods and financial services in Africa.,"3,913","MarketForce connects Africa’s informal retail outlets and consumers directly to suppliers of consumer goods and financial services by digitizing orders, delivery, and payments with the aim of solving the last mile distribution challenge."
mPharma,https://www.crunchbase.com/organization/mpharma,"Health Care, Hospital, Pharmaceutical","Accra, Greater Accra, Ghana",mPharma offers solutions to health insurance and pharmaceutical companies to make it easier for patients to afford their medications.,"4,096","mPharma offers solutions to health insurance and pharmaceutical companies to make it easier for patients to afford their medications. It aims to increase patient access to high-quality medications. mPharma partners with drug manufacturers, insurance companies, financial institutions, and governments to deliver prescription drugs directly to consumers in emerging markets. They provide doctors, patients, and pharmacists access to a network of high-quality chronic disease medicine at sustainable prices. The company was founded by Gregory Rockson (CEO), Daniel Shoukimas (CPO), and James Finucane (CTO) in 2013."
Africa Health Holdings Ltd,https://www.crunchbase.com/organization/africa-health-holding-ltd,Health Care,"Accra, Greater Accra, Ghana",Africa Health Holdings cultivates a work-environment that motivates professionals to strive to exceed their expectations.,"4,292","Africa Health Holdings cultivates a work-environment that motivates professionals to strive to exceed their expectations. It offers a variety of exciting and challenging careers across Africa and North America. It values teamwork and the enthusiasm to become a contributor to the development and success of local communities across Africa. It was founded in 2017 and is headquartered in Accra, Ghana with offices in Nigeria and New York."
Aerobotics,https://www.crunchbase.com/organization/aerobotics,"Agriculture, AgTech, Analytics, Artificial Intelligence, Drones, Farming, Machine Learning, Software","Cape Town, NA - South Africa, South Africa","Aerobotics is a data analytics company, providing tree and fruit insights enabled by drone imagery and artificial intelligence.","4,328",Aerobotics provides intelligent tools for optimal perennial crop farming practices.
Kippa,https://www.crunchbase.com/organization/kippa,"Accounting, Finance","Nguru, Lagos, Nigeria",Kippa is a mobile app for African small company owners and bookkeepers that replaces physical record books.,"4,397",
OfferZen,https://www.crunchbase.com/organization/offerzen,Information Technology,"Cape Town, NA - South Africa, South Africa",OfferZen is a platform to get competing job offers from top South African tech companies.,"4,492",
NFTfi,https://www.crunchbase.com/organization/nftfi,"Finance, Financial Services","Cape Town, NA - South Africa, South Africa",NFTfi is a simple NFT collateralized lending marketplace where you may use your NFT assets as collateral for a loan or lend to other users.,"4,663",
TeamApt,https://www.crunchbase.com/organization/teamapt,"Banking, Financial Services, FinTech, Payments","Lekki, Lagos, Nigeria","TeamApt is a financial technology company focused developing Digital Banking, Business Solutions and Payments Infrastructure.","4,691","TeamApt is a financial technology company focused on, developing Digital Banking, Digital Business solutions, and running Payments Infrastructure by rethinking the needs of consumers, businesses, and the financial industry. Beginning operations in 2015, TeamApt was borne from a desire to create financial happiness,  building solutions and tools for businesses and individuals to happily manage money. TeamApt is proudly Nigerian but globally focused, with an eclectic mix of backend, frontend, reliability, quality assurance, distributed data storage engineers to ensure critical solutions and products for our customers are built right, securely, scalably and reliably.  Our end goal is to see our customers happy which can only happen when they succeed using our solutions to run their daily lives and businesses. "
Airtel Africa,https://www.crunchbase.com/organization/airtel-africa,"Information Technology, Internet, Mobile, Telecommunications","Dar Es Salaam, Dar es Salaam, Tanzania",Airtel Africa is a telecommunications company that offers mobile voice and data services.,"4,772",Airtel Africa is a telecommunications company that offers mobile voice and data services. Airtel is driven by the vision of making mobile communications affordable for all to give people the freedom to meet their daily challenges and to drive economic and social development. Airtel is making a positive impact in the communities in which it operates through extending its networks to rural areas and through its education initiatives.
M-KOPA,https://www.crunchbase.com/organization/m-kopa,"Energy, Mobile","Nairobi, Nairobi Area, Kenya",To make life-changing energy solutions affordable to low income customers.,"4,940","M-KOPA is the global leader for “pay-as-you-go” energy services for off-grid customers. M-KOPA was established in 2011.  Following 2 years of piloting and development, M-KOPA began commercial sales in Kenya in October 2012. M-KOPA expanded to Uganda in 2013 and commences operations in Tanzania in late 2014. Their team includes over 500 staff and we sell our product through more than 1000 retail agents and shops.  The founders of the company are experienced mobile technology innovators who believe in the huge potential of transformative, affordable products designed for underserved consumers. While excellent technology is a pre-requisite, technology alone does not solve for customer needs. Success comes when smart technology is combined with a commitment to on-going, on-the-ground delivery. To that end, M-KOPA is beginning to license its technology to experienced and reputable third parties in markets outside of East Africa (licensing queries should be sent to licensing@m-kopa.com).  M-KOPA has developed a proprietary, patented technology platform that combines embedded GSM + mobile payments to revolutionize asset financing in emerging markets. The M-KOPAnet platform has been designed and built from the ground up by our talented team of software engineers, who continue to innovate and improve the system every day. It offers the powerful combination of accounting + customer relationship management + inventory tracking in one complete system.  Aside from enabling our business operations to scale at record speed, the M-KOPAnet™ platform captures and processes huge volumes of data, enabling us to improve our proposition, customer service, and security in real-time."
